restaurant,date
Tamashii Ramen,2022-01-26 13:20:32.205639
Teds,2022-01-26 18:01:23.625769
Freddies,2022-01-26 18:01:27.515982
Firehouse,2022-01-26 18:01:33.063781
"Jersy Mike's",2022-01-26 18:04:21.304834
Olive Garden,2022-01-26 18:04:21.964623
Hideaway,2022-01-26 18:04:22.459072
On The Border,2022-01-26 18:04:22.864155
Charlestons,2022-01-27 11:29:47.116622
Mcalisters,2022-01-27 11:29:50.543994
Mcneilies,2022-01-27 11:29:54.560764
Johnnies,2022-01-27 11:29:55.078044
Qdoba,2022-01-27 11:29:55.538227
Frosted Mug,2022-01-27 11:29:56.035386
Zios,2022-01-27 11:31:14.193079
